"GEOID","B01003_001E","B01003_001M","B00001_001E","type","landArea","popDens","popSamp"
"42017101900",4054,22,406,"trct",1.618403787,2504.93729226549,10.014800197336
"42017102002",2669,130,473,"trct",7.8194219103,341.329580449458,17.7219932559011
"42017102003",3911,144,365,"trct",4.8312330066,809.524192821406,9.33265149578113
"42017102004",4578,169,476,"trct",2.0282454621,2257.12325531844,10.3975535168196
"42017102102",3386,237,307,"trct",10.6807904775,317.017734514397,9.06674542232723
"42017102104",5538,364,315,"trct",8.391022497,659.991079988163,5.68797399783315
"42017102300",5728,22,327,"trct",12.9110009886,443.652665278056,5.70879888268156
"42017102401",3852,181,340,"trct",1.2344740551,3120.3571951036,8.82658359293873
"42017102402",4643,188,469,"trct",1.3008473478,3569.21202772352,10.1012276545337
"42017102500",4226,22,469,"trct",1.1438834121,3694.4324529033,11.0979649787033
"42017102600",2211,199,227,"trct",0.5336747559,4142.97280423415,10.2668475802804
"42017102700",5264,26,336,"trct",16.2772285104,323.396578025348,6.38297872340426
"42017102801",3472,232,308,"trct",10.8098880318,321.187415613024,8.87096774193548
"42017103101",2397,178,348,"trct",0.4272347079,5610.49923069698,14.5181476846058
"42017103102",1956,169,287,"trct",0.6061789305,3226.77002050635,14.6728016359918
"42017103103",4516,222,419,"trct",1.0019221641,4507.33616024614,9.27812223206377
"42017103300",2069,120,386,"trct",19.6719278184,105.175253747362,18.6563557274045
"42017103400",5038,27,233,"trct",30.6021010581,164.629219099533,4.62485113140135
"42017103700",3415,17,325,"trct",22.0456211976,154.906045485884,9.51683748169839
"42017103800",1223,80,341,"trct",6.5828586681,185.785547231412,27.8822567457073
"42017103900",3969,23,380,"trct",30.0726463752,131.980403403178,9.57420005039053
"42017104000",6967,33,370,"trct",30.4608564117,228.719767620321,5.31075068178556
"42017104100",2121,177,344,"trct",0.5828662125,3638.9139643259,16.2187647336162
"42017104201",2973,213,246,"trct",13.189006116,225.415014130091,8.2744702320888
"42017104203",5430,218,495,"trct",8.0013078288,678.63905703705,9.11602209944751
