"GEOID","NAME","B03003_001E","B03003_001M","B03003_003E","B03003_003M","type","pct","moe"
"34007609201","Census Tract 6092.01, Camden County, New Jersey",4495,397,487,207,"trct",0.108342602892102,4.50460546749088
"34007609202","Census Tract 6092.02, Camden County, New Jersey",4974,445,559,348,"trct",0.112384398874146,6.92375772065741
"34007609203","Census Tract 6092.03, Camden County, New Jersey",9458,776,974,500,"trct",0.102981602875872,5.21857140810507
"34007609204","Census Tract 6092.04, Camden County, New Jersey",3822,352,597,252,"trct",0.156200941915228,6.43455381017999
"34007609205","Census Tract 6092.05, Camden County, New Jersey",6487,498,981,140,"trct",0.151225527979035,1.8193072210326
"34007610300","Census Tract 6103, Camden County, New Jersey",2132,326,301,150,"trct",0.141181988742964,6.69626563535486
"34007610400","Census Tract 6104, Camden County, New Jersey",5412,492,2130,435,"trct",0.393569844789357,7.19743716093365
"34007610500","Census Tract 6105, Camden County, New Jersey",7209,690,2833,894,"trct",0.392980995977251,11.8169802869297
"34007610600","Census Tract 6106, Camden County, New Jersey",1217,151,199,80,"trct",0.163516844700082,6.25261831493169
"34007610800","Census Tract 6108, Camden County, New Jersey",3006,345,947,230,"trct",0.315036593479707,6.74315652739774
"34007610900","Census Tract 6109, Camden County, New Jersey",3362,185,18,22,"trct",0.00535395597858418,0.653708863802689
"34007611000","Census Tract 6110, Camden County, New Jersey",6415,363,1157,682,"trct",0.180358534684334,10.5822330221013
"34007611100","Census Tract 6111, Camden County, New Jersey",3211,239,434,257,"trct",0.135160386172532,7.94026008998938
"34007611200","Census Tract 6112, Camden County, New Jersey",4478,216,185,110,"trct",0.0413130861991961,2.44835736736379
"34007611300","Census Tract 6113, Camden County, New Jersey",4347,368,142,110,"trct",0.0326662065792501,2.51532483840089
"34007611400","Census Tract 6114, Camden County, New Jersey",4240,210,188,145,"trct",0.0443396226415094,3.41275290657311
"34007611500","Census Tract 6115, Camden County, New Jersey",4894,385,494,282,"trct",0.100939926440539,5.7071807328148
"34007611600","Census Tract 6116, Camden County, New Jersey",3674,342,352,249,"trct",0.0958083832335329,6.71841803905479
"34007611700","Census Tract 6117, Camden County, New Jersey",3087,208,54,60,"trct",0.0174927113702624,1.94005756430181
"34015500100","Census Tract 5001, Gloucester County, New Jersey",4233,19,269,173,"trct",0.0635483108906213,4.08683643955245
"34015500201","Census Tract 5002.01, Gloucester County, New Jersey",2425,163,188,145,"trct",0.0775257731958763,5.95663127243305
"34015500202","Census Tract 5002.02, Gloucester County, New Jersey",4464,261,148,93,"trct",0.0331541218637993,2.07429554884756
"34015500203","Census Tract 5002.03, Gloucester County, New Jersey",4632,244,57,44,"trct",0.0123056994818653,0.947699287773095
"34015500204","Census Tract 5002.04, Gloucester County, New Jersey",6437,347,502,243,"trct",0.0779866397390089,3.75156863404402
"34015500205","Census Tract 5002.05, Gloucester County, New Jersey",3485,214,30,34,"trct",0.00860832137733142,0.974176671318019
"34015500300","Census Tract 5003, Gloucester County, New Jersey",3012,19,50,29,"trct",0.0166002656042497,0.962758458530615
"34015500400","Census Tract 5004, Gloucester County, New Jersey",6009,26,657,225,"trct",0.109335996005991,3.74408455946101
"34015500500","Census Tract 5005, Gloucester County, New Jersey",4870,15,42,39,"trct",0.00862422997946612,0.800816949679316
"34015500600","Census Tract 5006, Gloucester County, New Jersey",10252,31,318,118,"trct",0.0310183378852907,1.15095671165936
"34015500701","Census Tract 5007.01, Gloucester County, New Jersey",7751,325,348,200,"trct",0.0448974325893433,2.5734356600485
"34015500702","Census Tract 5007.02, Gloucester County, New Jersey",5947,345,156,172,"trct",0.026231713468976,2.88820833065639
"34015500703","Census Tract 5007.03, Gloucester County, New Jersey",1465,129,47,36,"trct",0.0320819112627986,2.44104598072784
"34015500800","Census Tract 5008, Gloucester County, New Jersey",2163,94,19,16,"trct",0.00878409616273694,0.738727688166325
"34015500900","Census Tract 5009, Gloucester County, New Jersey",3027,21,109,63,"trct",0.03600925008259,2.08111864899914
