"GEOID","B01003_001E","B01003_001M","B00001_001E","type","landArea","popDens","popSamp"
"340057005033",652,181,69,"bg",0.2388186801,2730.10469585959,10.5828220858896
"340057005041",1735,235,159,"bg",1.0828699596,1602.22378007502,9.164265129683
"340057005042",1242,269,133,"bg",0.2900020266,4282.72869180011,10.7085346215781
"340057005051",3569,428,249,"bg",4.4293951845,805.753348107023,6.97674418604651
"340057005052",2459,376,120,"bg",2.7235907127,902.852248883717,4.88003253355022
"340057006021",846,264,54,"bg",0.5312820942,1592.37438873956,6.38297872340426
"340057006022",866,247,59,"bg",0.7819795269,1107.44587320986,6.81293302540416
"340057006023",4510,408,250,"bg",1.8347954625,2458.0396519266,5.54323725055432
"340057006031",1217,377,75,"bg",0.4325486022,2813.55665885909,6.16269515201315
"340057006032",2697,467,177,"bg",1.2489315696,2159.44577400968,6.56284760845384
"340057006033",2048,574,78,"bg",0.8109852894,2525.3232417017,3.80859375
"340057006051",1251,178,139,"bg",0.3071004651,4073.58549454701,11.1111111111111
"340057006052",2082,266,194,"bg",0.412466769,5047.67936832264,9.31796349663785
"340057006053",1293,257,123,"bg",0.2655920124,4868.36930190751,9.51276102088167
"340057007011",1588,356,125,"bg",0.2631090033,6035.5213241766,7.87153652392947
"340057007012",1507,341,117,"bg",0.3000784644,5022.01983408977,7.76376907763769
"340057007021",1048,299,121,"bg",0.1026342603,10211.0152782969,11.5458015267176
"340057007022",1743,252,237,"bg",0.2387943558,7299.16749564983,13.5972461273666
"340057007031",1337,246,144,"bg",0.3475490733,3846.93875689295,10.7703814510097
"340057007032",782,182,86,"bg",0.2320275672,3370.28918346561,10.997442455243
"340057008001",2484,276,221,"bg",0.7198012107,3450.95279512566,8.89694041867955
"340057008002",608,171,67,"bg",0.2820533859,2155.6202846491,11.0197368421053
"340057008003",1421,234,137,"bg",1.3304214495,1068.08259934026,9.64109781843772
"340057009001",1079,170,135,"bg",0.2020086783,5341.35468377053,12.5115848007414
"340057009002",1459,171,220,"bg",0.3380452218,4315.99060099479,15.0788211103496
"340057010011",2621,439,106,"bg",0.8297891316,3158.63380247725,4.04425791682564
"340057010012",1593,394,74,"bg",0.3144305736,5066.30122434124,4.64532328939109
"340057010013",774,223,49,"bg",0.8174551671,946.840916971433,6.33074935400517
"340057010021",1257,280,127,"bg",0.4583076498,2742.69914662899,10.1034208432776
"340057010022",1418,339,92,"bg",0.1556670258,9109.18669328106,6.48801128349788
"340057010023",1172,270,105,"bg",0.3450784194,3396.32945473031,8.95904436860068
"340057011021",1914,304,191,"bg",2.3514296949,813.972879627769,9.9791013584117
"340057011022",3548,345,312,"bg",1.7856908784,1986.90604455517,8.79368658399098
"340057011031",2815,423,141,"bg",2.605962645,1080.21502357337,5.0088809946714
"340057011032",900,271,39,"bg",0.202069296,4453.91763031628,4.33333333333333
"340057011033",606,281,42,"bg",0.198428373,3053.99873434431,6.93069306930693
"340057011034",1991,427,109,"bg",0.7117452342,2797.34925410197,5.47463586137619
"340057011041",868,262,76,"bg",0.4987087677,1740.49476611999,8.75576036866359
"340057011042",1058,294,90,"bg",0.5935855068,1782.38853186231,8.50661625708885
"340057011043",2612,392,208,"bg",0.8827670709,2958.87792612949,7.96324655436447
"340057011051",1616,442,88,"bg",0.5205079737,3104.65945125251,5.44554455445545
"340057011052",3449,471,197,"bg",2.7935334999,1234.63706453617,5.7118005218904
"340057011053",1283,525,47,"bg",0.3032108937,4231.3783134369,3.66328916601715
"340057012011",1272,282,96,"bg",0.5479809192,2321.24870671957,7.54716981132075
"340057012012",424,161,46,"bg",0.0803003058,5280.17914472251,10.8490566037736
"340057012013",624,186,50,"bg",0.1702156599,3665.93767204847,8.01282051282051
"340057012014",948,333,65,"bg",0.139698702,6786.03298690635,6.85654008438819
"340057012031",942,161,114,"bg",0.8632315692,1091.24832039333,12.1019108280255
"340057012032",924,170,121,"bg",0.2404329642,3843.06703980652,13.0952380952381
"340057012041",828,268,67,"bg",0.1352195559,6123.37464421446,8.09178743961353
"340057012042",1688,356,86,"bg",0.1711006011,9865.54102760543,5.09478672985782
"340057012051",1331,252,157,"bg",0.3261792105,4080.57888778292,11.7956423741548
"340057012052",869,259,95,"bg",0.3881590713,2238.77287497004,10.9321058688147
"340057013011",811,211,77,"bg",0.2107133028,3848.83151288159,9.4944512946979
"340057013012",1430,254,116,"bg",0.6538221261,2187.13919721537,8.11188811188811
"340057013013",786,227,55,"bg",0.2007897606,3914.54224384388,6.99745547073791
"340057013014",1339,225,113,"bg",0.1835650674,7294.41619239152,8.43913368185213
"340057013021",1824,265,158,"bg",0.4015640772,4542.23896897917,8.66228070175439
"340057013022",1011,243,93,"bg",0.3310278543,3054.12365414955,9.19881305637982
"340057013031",817,258,73,"bg",0.2740352472,2981.36830333992,8.93512851897185
"340057013032",4620,263,414,"bg",7.5130507881,614.929957257532,8.96103896103896
"340057014011",1419,365,79,"bg",9.1832124384,154.521090470083,5.56730091613812
